City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Lobito,AO,77.77,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
335,Kavieng,PG,85.44,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
338,Nelson Bay,AU,76.1,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
339,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
340,Cockburn Town,TC,77.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
343,Hirara,JP,76.86,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
349,Quatre Cocos,MU,80.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
352,Sinnamary,GF,76.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
360,Kashmor,PK,85.96,few clouds,28.4333,69.5833,Shah Madina Hotel
372,Bengkulu,ID,84.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
377,Mandvi,IN,82.26,clear sky,22.8333,69.3667,Jitendra Guest House
385,Vaitape,PF,82.0,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
390,Mackay,AU,81.68,broken clouds,-21.15,149.2,International Lodge Motel
392,Lafia,NG,83.37,broken clouds,8.4833,8.5167,Low Cost Housing Estate
393,Yenagoa,NG,75.76,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
398,Miri,MY,77.14,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
403,San Alberto,CO,76.33,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
414,Norsup,VU,84.31,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
419,Falam,MM,81.88,broken clouds,22.9167,93.6833,Falang Government Guesthouse
426,Moree,AU,87.82,few clouds,-29.4667,149.85,Molika Springs Motel
435,Honiara,SB,82.8,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
436,Arawa,PG,87.19,few clouds,-6.2132,155.5367,Coastline Guest House
437,Shaping,CN,81.95,clear sky,22.7545,112.9565,Heshan Phoenix Hotel
444,Buchanan,LR,79.18,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
446,Kieta,PG,85.23,few clouds,-6.2167,155.6333,Uruna Bay Retreat
449,Matara,LK,84.0,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
456,Touho,NC,81.88,clear sky,-20.7833,165.2333,Auberge Timay Evasion
461,Daru,PG,83.41,moderate rain,-9.0763,143.2092,Daru Lodge
470,Buala,SB,83.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
471,Wanning,CN,78.17,broken clouds,18.8003,110.3967,Paradise Hotel
474,Nosy Varika,MG,75.51,light rain,-20.5833,48.5333,Hotel Volazara
475,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
476,Tagusao,PH,85.32,overcast clouds,9.1924,117.8141,Green Villa beach resort
478,Minab,IR,76.93,broken clouds,27.1467,57.0801,Bam campground
484,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
493,Kudahuvadhoo,MV,82.62,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
503,Liuzhou,CN,79.27,broken clouds,24.3126,109.3892,Linjiang Inn
507,Itarema,BR,75.47,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
508,Hervey Bay,AU,82.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
509,Sonamura,IN,77.0,overcast clouds,23.4719,91.2664,Sorojini Guest House
522,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
523,Nizwa,OM,78.58,few clouds,22.9333,57.5333,Orient Apartments
525,Kimbe,PG,86.27,light rain,-5.5502,150.1429,Kimbe Bay Hotel
526,Pointe Michel,DM,77.04,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
538,Benguela,AO,77.31,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
540,Bonthe,SL,76.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
544,Touros,BR,78.69,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
545,Mae Hong Son,TH,84.34,haze,19.3003,97.9685,Baiyoke Chalet Hotel
553,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
556,Tabas,IR,75.07,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
558,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
561,Tura,IN,87.19,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
573,Benalla,AU,78.55,scattered clouds,-36.55,145.9833,Rose City Motor Inn
574,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
575,Sao Jose Da Coroa Grande,BR,77.67,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
579,Shaoyang,CN,77.4,scattered clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
583,Zhongshu,CN,75.7,few clouds,24.5167,103.7667,Xintianlong Hotel
591,Coffs Harbour,AU,75.13,overcast clouds,-30.3,153.1333,Aquajet Motel
601,Along,IN,84.43,broken clouds,28.1667,94.7667,Hotel West
603,Takoradi,GH,79.65,broken clouds,4.8845,-1.7554,Raybow International Hotel
604,Saint-Leu,RE,79.32,broken clouds,-21.15,55.2833,La Caz Oceane
605,Meulaboh,ID,85.05,overcast clouds,4.1363,96.1285,Kost Pria
607,Samarai,PG,85.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
609,Bandarbeyla,SO,78.42,overcast clouds,9.4942,50.8122,JABIR HOTEL
611,Karwar,IN,85.8,broken clouds,14.8,74.1333,Netalco Connects
612,Limon,CR,75.04,clear sky,10.0,-83.0333,Hotel Playa Bonita
613,Saint-Joseph,RE,76.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
626,Sanbu,CN,75.61,broken clouds,33.4594,119.1453,Feiyang Hotel
627,Jacqueville,CI,80.15,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
631,Jawar,IN,80.46,clear sky,23.0,76.5,Sree balaji
632,Rach Gia,VN,82.47,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
634,Bac Lieu,VN,83.64,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
635,Wau,SS,77.61,broken clouds,7.7029,27.9953,Universal Gab Hotel
637,Puerto Escondido,MX,77.47,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
638,Tautira,PF,81.03,clear sky,-17.7333,-149.15,Pension Oaoa
640,Muisne,EC,76.23,overcast clouds,0.6,-80.0333,Quinta Samay
645,Sola,VU,83.07,light intensity drizzle,-13.8833,167.55,Leumerus Bungalows
648,Bosaso,SO,75.56,overcast clouds,11.2842,49.1816,Red Sea Hotel
650,Byron Bay,AU,77.94,overcast clouds,-28.65,153.6167,Backpackers Inn
651,Wajir,KE,76.96,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
657,Guarapari,BR,76.89,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
663,Alugan,PH,81.91,overcast clouds,12.2188,125.4808,JM Lodge
